Ticker,Rank,Decile,Momentum,Volatility,marketCap,sector
V,115.0,2,0.32371198180860805,,664932319232.0, Financials
ORI,116.0,2,0.31733587457234447,,9145067520.0, Financials
COF,117.0,2,0.315955668919353,,126216003584.0, Financials
TRV,118.0,2,0.3154595118270591,,60018122752.0, Financials
FIX,119.0,2,0.311110562615478,,17602830336.0, Industrials
BRK-B,120.0,2,0.31084074729959177,,1046873964544.0, Financials
CHTR,121.0,2,0.31074390069496505,,52135915520.0, Communication
ZM,122.0,2,0.3100186300821788,,23441420288.0, Information Technology
TW,123.0,2,0.30794528267864707,,30301859840.0, Financials
COR,124.0,2,0.3077146454011679,,57516978176.0, Health Care
CCK,125.0,2,0.30597073200881786,,11934835712.0, Materials
RSG,126.0,2,0.30444855469341925,,77586751488.0, Industrials
CBOE,127.0,2,0.3042455970595741,,23832680448.0, Financials
RL,128.0,2,0.2997301413088336,,16155316224.0, Consumer Discretionary
SGI,129.0,2,0.299448008604543,,13553853440.0, Consumer Discretionary
ADC,130.0,2,0.2965444120192753,,8311663104.0, Real Estate
U,131.0,2,0.2958179211706662,,9939267584.0, Information Technology
BKNG,132.0,2,0.2949801874264919,,172016484352.0, Consumer Discretionary
ED,133.0,2,0.29374009232376097,,36292616192.0, Utilities
TEAM,134.0,2,0.2907620491635272,,51487928320.0, Information Technology
EXE,135.0,2,0.2894464714000675,,28740724736.0, Energy
AWI,136.0,2,0.2888557795494173,,6571777536.0, Industrials
EBAY,137.0,2,0.2858524026720062,,35729235968.0, Consumer Discretionary
PNW,138.0,2,0.2855821298934773,,10568005632.0, Utilities
PLNT,139.0,2,0.2853648735566976,,9066744832.0, Consumer Discretionary
ABT,140.0,2,0.2835253616192779,,230372212736.0, Health Care
CRH,141.0,2,0.2826965108440447,,60002656256.0, Materials
COKE,142.0,2,0.2801168919163253,,9258281984.0, Consumer Staples
JCI,143.0,2,0.28000702570142644,,68094701568.0, Industrials
NEM,144.0,2,0.27938069887454975,,64843374592.0, Materials
ADP,145.0,2,0.279077042256793,,124524994560.0, Industrials
CNP,146.0,2,0.2782635337818462,,23211008000.0, Utilities
MASI,147.0,2,0.2780689502428273,,8825243648.0, Health Care
VEEV,148.0,2,0.27692480987795043,,45989036032.0, Health Care
NDAQ,149.0,2,0.2768873319470626,,49586917376.0, Financials
MCD,150.0,2,0.27653261110363814,,207095021568.0, Consumer Discretionary
RTX,151.0,2,0.27627731435087055,,194875015168.0, Industrials
GE,152.0,2,0.2762552389694781,,251550744576.0, Industrials
CW,153.0,2,0.2751106107029302,,17442983936.0, Industrials
ESAB,154.0,2,0.27475624015961286,,7164414464.0, Industrials
RPRX,155.0,2,0.2729894383971543,,19627798528.0, Health Care
DBX,156.0,2,0.27058300442815564,,7735211520.0, Information Technology
AEP,157.0,2,0.26988325834370674,,54060531712.0, Utilities
AZO,158.0,2,0.2693903625695311,,60284043264.0, Consumer Discretionary
BMY,159.0,2,0.26817648811600336,,95323144192.0, Health Care
PAYX,160.0,3,0.26742324654748306,,54143913984.0, Industrials
CMS,161.0,3,0.2662151662050365,,20576739328.0, Utilities
DTE,162.0,3,0.2656822045240388,,27350609920.0, Utilities
ALL,163.0,3,0.26049883391751116,,51816939520.0, Financials
PNFP,164.0,3,0.26038994861769127,,8034035712.0, Financials
SBAC,165.0,3,0.25756394717871944,,24531843072.0, Real Estate
DE,166.0,3,0.2542059429968766,,142178762752.0, Industrials
FWONA,167.0,3,0.2540868572609607,,25169577984.0, Communication
DUK,168.0,3,0.2519454056530095,,89058107392.0, Utilities
CSCO,169.0,3,0.2516042886892602,,260726390784.0, Information Technology
SOLV,170.0,3,0.25037824150971977,,12565933056.0, Health Care
PODD,171.0,3,0.25019816387924076,,21238439936.0, Health Care
MA,172.0,3,0.24962503587861296,,489211002880.0, Financials
EXPE,173.0,3,0.24818905165108696,,20652079104.0, Consumer Discretionary
BR,174.0,3,0.24509796594977917,,27931525120.0, Industrials
RMD,175.0,3,0.2443946826739385,,36785782784.0, Health Care
AJG,176.0,3,0.24405430989283694,,81202085888.0, Financials
BRO,177.0,3,0.2421068842973364,,35715883008.0, Financials
CART,178.0,3,0.24113254969432574,,11248108544.0, Consumer Staples
PARAA,179.0,3,0.24110716961922574,,8550749696.0, Communication
LNT,180.0,3,0.24014569315309453,,15415128064.0, Utilities
USFD,181.0,3,0.23933567816972867,,17416028160.0, Consumer Staples
FI,182.0,3,0.23839248281415326,,89463463936.0, Financials
ICE,183.0,3,0.23751681798342905,,103115005952.0, Financials
JPM,184.0,3,0.2374824805171618,,761359433728.0, Financials
HIG,185.0,3,0.23569127595080008,,35484467200.0, Financials
AFL,186.0,3,0.23511572267012792,,55486394368.0, Financials
FWONK,187.0,3,0.23427063876641685,,25169559552.0, Communication
KD,188.0,3,0.2322310462572288,,9305478144.0, Information Technology
STT,189.0,3,0.23207722897714844,,28318574592.0, Financials
EQH,190.0,3,0.22986221671031837,,16066928640.0, Financials
GS,191.0,3,0.22979887459709625,,194917662720.0, Financials
MS,192.0,3,0.2255176236817853,,212604485632.0, Financials
MCK,193.0,3,0.22474748853232196,,91113750528.0, Health Care
ALSN,194.0,3,0.22470909262817318,,7769977856.0, Industrials
SNA,195.0,3,0.2237520243638147,,16043925504.0, Industrials
CPAY,196.0,3,0.22131297865923116,,22164535296.0, Financials
PFGC,197.0,3,0.2200877766968219,,13266173952.0, Consumer Staples
RBC,198.0,3,0.21791833646280478,,11706719232.0, Industrials
WFC,199.0,3,0.21771436347935236,,243217416192.0, Financials
SSNC,200.0,3,0.21769220765533204,,19604697088.0, Industrials
SEIC,201.0,3,0.21728971614170423,,10359808000.0, Financials
CASY,202.0,3,0.21691506038940278,,18431557632.0, Consumer Staples
SO,203.0,3,0.2145312973960114,,97509834752.0, Utilities
NOW,204.0,3,0.2139906574707764,,203439833088.0, Information Technology
HLI,205.0,3,0.21386724461186502,,12081307648.0, Financials
CTAS,206.0,3,0.21362514416146827,,89002729472.0, Industrials
AON,207.0,3,0.2132156422281679,,75758223360.0, Financials
AVGO,208.0,3,0.2096088503871527,,1181793910784.0, Information Technology
NTNX,209.0,3,0.20844325052208013,,19727783936.0, Information Technology
PH,210.0,3,0.2052152465080197,,83348307968.0, Industrials
MNST,211.0,3,0.2036035638359983,,61625794560.0, Consumer Staples
TDY,212.0,3,0.20117012625096065,,22911385600.0, Information Technology
OHI,213.0,3,0.20086944699185727,,11011384320.0, Real Estate
CINF,214.0,3,0.19967052433456423,,22773491712.0, Financials
WAT,215.0,3,0.1985730623146824,,20195006464.0, Health Care
OKTA,216.0,3,0.19816262077565372,,17332226048.0, Information Technology
PNR,217.0,3,0.1961213891675253,,15949248512.0, Industrials
LH,218.0,3,0.1949424194753946,,21878343680.0, Health Care
REG,219.0,3,0.1934626636322878,,12915099648.0, Real Estate
ALLE,220.0,3,0.1911111093702189,,11771543552.0, Industrials
MTZ,221.0,3,0.19001777957731059,,12992135168.0, Industrials
SHW,222.0,3,0.1897452378308484,,83066707968.0, Materials
AM,223.0,3,0.18971235502680472,,8688240640.0, Energy
EWBC,224.0,3,0.1896277964355486,,12901797888.0, Financials
